Index,Course,School,Number,Title,Description
778,AD 36600,AD,36600,Visual Communication Design II,Field trips may be required. The study of corporate graphics and visual identity programs.
779,AD 36800,AD,36800,Etching And Intaglio Printmaking,"An introduction to the techniques of etching, engraving, aquatint, drypoint, collagraph, monoprint, and related processes. Emphasis on fine art conceptual issues, creativity, matting and framing art, and professional practices."
780,AD 36900,AD,36900,Lithographic Printmaking,"An introduction to the techniques of stone and plate lithography. Emphasis on fine art conceptual issues, creativity, matting and framing art, and professional practices."
781,AD 37000,AD,37000,Woven Textiles,"A beginning course in loom-woven textiles and pattern drafting. Emphasis on two- and threedimensional design in fiber, using historical textile structures as the basis for contemporary interpretations."
782,AD 38000,AD,38000,Baroque Art,"A survey of European art and architecture during the 17th century, focused on Italy and the Netherlands, and emphasizing some of their leading painters. Works of art are seen in a broad social and cultural"
783,AD 38100,AD,38100,Fine Art Photographic Printmaking And Artist's Book,"This course is designed to explore methods and concepts for creating fine art prints and books as an art medium. Through technical workshops and assigned projects students will become well-versed in medium and large format cameras, various 19th century processes such as platinum prints, toned silver prints, kallitypes, and digital capture and printing. The craft and production of handmade traditional and contemporary books become a vehicle with which to share the images."
784,AD 38200,AD,38200,"A Global History Of Art, Eighteenth-Nineteenth Centuries","A study of artistic exchanges and circulations between Europe, Asia, and the Middle East from the 18th to the 19th century. Movements such as Chinoiseries, Turqueries, Orientalism, and Japonisme are examined within their historical context and as part of a globalizing tendency."
785,AD 38300,AD,38300,Modern Art,"A comprehensive overview of Modern art from Impressionism to Surrealism, designed to help students understand the radical transformations art and society underwent in that period, and reflect upon the influence of new technologies, scientific discoveries, and world events on artistic creation."
786,AD 38400,AD,38400,Contemporary Art,"A comprehensive overview of the visual arts from the 1940's to the present, designed to help students understand the cultural, social, and historical dynamics that influence artistic creation, and reflect upon the artists' role in contemporary societies."
787,AD 38500,AD,38500,History Of Interior Design,"A survey of the historical changes in interior design and architecture from the 18 th century to the present in their social, cultural, and political contexts. The course situates the history of interior design within broader debates about the social uses of space and the cultural significance of architecture and interiors."
788,AD 39100,AD,39100,History Of Chinese Art,A historical survey of the visual arts and architecture of China from antiquity to the present. Emphasis will be placed on the relation of a broad range of art forms to their social and cultural contexts.
789,AD 39500,AD,39500,History Of Design,"A survey of the historical development of design from the industrial revolution to the present that examines the influence of new technologies, materials, and style on design practice as well as the role of design in shaping the technologies and things of everyday life. Throughout the course, students will analyze design within the broader social, cultural, and political context of production, consumption, and use."
790,AD 39600,AD,39600,Art Museum Practices,"This course examines art museums as cultural institutions with varied collections, serving an important social role. Museum administration and operation are discussed, as are exhibition preparation and museum architecture; a few field trips are required. Museum careers also are explored."
791,AD 39700,AD,39700,Sustainability In The Built Environment,"The study of philosophical concepts, principles, and theories of sustainability as they pertain to building methods, materials, systems, and occupants. To provide a foundation for evaluation of materials, processes, and applications of design components for environmentally responsible. Field trips will be required."
792,AD 40000,AD,40000,Advanced Painting,A studio course concentrating on the development of an advanced body of work built upon the conceptual and technical skills of painting. This course is designed to help individual students gain a greater awareness of their personal creative goals and to foster means of expression.
793,AD 40200,AD,40200,Art In Secondary School,Theory and practice of art education for adolescent and young adult students in the secondary school. Required prior to professional semester.
794,AD 40400,AD,40400,Moldmaking And/Or Wheel-Throwing Production Techniques In,"rs: 3.00 to 6.00. This course will teach mold-making or wheel-throwing (depending on the individual student's interest) with a view to creating ceramic objects suitable for commercial mass-production. Both tableware and/or sculptural objects will be explored. For the wheel-throwing option the students must have at least one year of high school throwing or AD 24200 with a grade of at least ""B"" or permission of instructor. For the mold making and casting option only, students must be an Art and Design student or have permission of instructor."
795,AD 40500,AD,40500,Industrial Design III,"Design projects emphasizing sophisticated problem-solving methods. Design projects will stress diversity of industrial design and will trace the development of products from initial concept, research, and development through production."
796,AD 40600,AD,40600,Industrial Design IV,"Design of products in their relation to economic, physiological, psychological, and behavioral patterns of the consumer. Emphasis upon total thought processes to allow environmental considerations as well as technological realities."
797,AD 41500,AD,41500,Professional Techniques,"Research development for product design, with emphasis on socioeconomic concerns and documentation techniques. Portfolio refinement, including verbal, written, and other visual documentation and"
798,AD 41600,AD,41600,Seminar On Ideas In Industrial Design II: Design And Creative Problem,dit Hours: 3.00. A study of creative problem solving methods as used by the designer in his or her work.
799,AD 41700,AD,41700,Variable Topics In Electronic And Time-Based Art,Examination of thematic or specialized topics reflecting the most recent developments and contemporary artistic practices in Electronic and Time-Based Art. Permission of department required.
800,AD 42100,AD,42100,Advanced Studies In Photography And Related Media I,"The first of two advanced level courses in photography/related media focusing on production of a formally and conceptually coherent body of work. Course emphasizes development of studio and critical thinking skills, and initiates investigation of the creative process."
801,AD 42200,AD,42200,Advanced Studies In Photography And Related Media II,"An advanced level course in photography and related media focusing on production of a formally and conceptually coherent body of work, articulated within an appropriate, informed critical context. Culminates in curation of formal exhibition."
802,AD 42600,AD,42600,Robotic Art,"The Robotic Art Studio is an experimental and interdisciplinary class that explores the aesthetics, technologies, ideologies and cultural impact of robotics. Students build robots that beep, blink, bounce and walk."
803,AD 43000,AD,43000,Interior Design V,"Design of multi-use complex environments, emphasizing program and problem solving, facility planning, building systems, and materials technology. Application of alternative presentation technologies will be explored."
804,AD 43100,AD,43100,Visual Communication Design III,The advanced study of communication concepts of poster and poster application in current media.
805,AD 43200,AD,43200,Visual Communication Design IV,"The study of product identity, packaging. and branding."
806,AD 43400,AD,43400,Professional Practice For Visual Communication Designers,"Specific professional practice topics for the visual communication designer. Topics include contracts, professional associations, ethics, portfolio and resume preparation, self-promotion and exhibition of creative work, the job market and the future of the profession. Field trips may be required."
807,AD 44000,AD,44000,Interior Detailing And Construction,"The process of designing, detailing, specifying, and constructing interior environments. Emphasis on teams, building systems, architectural drawing, and building codes."
808,AD 44200,AD,44200,Ceramics III,"A continuation of AD 34200; according to student needs in creating ceramic forms, a variety of indepth experiences: experimental kiln building and firing techniques, methods of ceramic construction, surface treatment, and clay and glaze formulation."
809,AD 45400,AD,45400,Modern Architecture,A study of nineteenth- and twentieth-century architecture.
810,AD 46200,AD,46200,Metalsmithing,Metal forming and metalsmithing processes for small metal objects and jewlery.
811,AD 46500,AD,46500,Professional Practice,"The study of professional office and business procedures for the practice of interior design. Includes project administration, contracts, forms, and documents as used in the marketplace."
812,AD 46800,AD,46800,Printmaking III,"Study of the techniques of photo plate lithography and photo etching, with continued advanced studies in lithography and etching/intaglio. Emphasis on color printmaking, fine art conceptual issues, creativity, matting and framing art, and professional practices."
813,AD 47000,AD,47000,Advanced Studies In Textiles,"A textile seminar and studio course in advanced textile design, with the purpose of developing a personal direction and competence in textiles as fiber art."
814,AD 47800,AD,47800,Internship In Art And Design,"to 8.00. Intensive exposure to professional experience through supervised internship in art-anddesign-related firms, departments, or studios. Consent to enroll, amount of credit, placement, and evaluation to be approved and coordinated by department. Permission of instructor required."
815,AD 49000,AD,49000,Special Problems In Art And Design,to 6.00. Individual problems in art and design. Permission of instructor required.
816,AD 49900,AD,49900,Studio Arts Professional Practice/Senior Exhibition,"Study of professional practice in the contemporary art world: ethics, gallery, exhibition, studio practice, writing, visual documentation, and business of art. Seniors meet throughout spring semester to organize, install, and de-install Fine Arts Senior Exhibition."
817,AD 50200,AD,50200,Curriculum Studies In Art Education,(EDCI 52000) Study of selected theories of curriculum conception as they apply to constructing arts education curricula in the schools. Permission of instructor required.
818,AD 50400,AD,50400,Philosophical Studies In Art Education,(EDCI 52100) To introduce students to philosophy as a mode of disciplined inquiry in art education. Students will critically examine the literature of art education and identify problems requiring philosophical resolution. Permission of instructor required.
819,AD 51200,AD,51200,Interaction Design Studies,This course examines concepts and methods for interaction design (IXD). It emphasizes a humancentered perspective and explores fundamental components involved in IXD research. Students will explore a wide range of literature and implement IXD theories in multi-disciplinary collaborative projects.
820,AD 52000,AD,52000,Student Visual Design Service,"The course will simulate the operation of a professional design studio affording the opportunity for hands-on experience in the development of a total graphic product from concept to finish and will include contact with clients, typesetters, and printers. Permission of instructor required."
821,AD 52200,AD,52200,Interaction Design Evaluation,"This course builds a foundation for interaction designers to conduct evaluation research. Students start from analyzing evaluation cases on interactive designs and systems to employing evaluation in design projects using quantitative, qualitative, or mixed methods of inquiry."
822,AD 53200,AD,53200,Cognition In Design,"This course focuses on understanding cognitive issues and theories in design. Students are exposed to different cognitive models and phases while they are designing interactive systems. They will develop the cognitive perspective, analyze user experience, and develop an interaction design."
823,AD 53500,AD,53500,Furniture Design,Examination of furniture design trends and designers. Explore materials and manufacturing processes. Design and build a full-size seating unit. Shop skills required. Permission of instructor required.
824,AD 54200,AD,54200,Information Visualization Design,"This course starts from exploring visual perception and attention theories, studying modern visualization technologies and toolkits, and reviewing evolving visualization research. Students work on small exercises, and then accomplish complicated virtual and physical visualization projects for information representation and communication."
825,AD 55000,AD,55000,Research Methods In Art And Design,"An intensive course in research methods to assist students in developing a topic for directed study. Introduction to various research tools; exercises exploring issues of style, content, and organization; research methods and how they pertain to art and design. Permission of department required."
826,AD 55800,AD,55800,Directed Project Research In Studio Arts,to 3.00. Initial M.F.A. project research and production in studio arts. Permission of instructor required.
827,AD 56800,AD,56800,Directed Project Research In Design,to 3.00. Initial M.F.A. project research and production in design. Permission of instructor required.
828,AD 59000,AD,59000,Special Art Problems,"to 6.00. Individual problems in art history, appreciation, design, crafts, drawing, and painting. Credit dependent upon amount of work done. Permission of instructor required."
829,AD 59100,AD,59100,Practicum For Art And Design Teaching Assistants,"Seminar to train new Art and Design teaching assistants in the content, policies, and format of the courses they teach. Topics include problem/project presentation, critique techniques, grading, and discipline. Subsequent semesters focus on improving and refining teaching skills. Open only to Art Design teaching assistants each semester they teach. Permission of instructor required."
830,AD 60000,AD,60000,Painting,to 6.00. Painting. Permission of department required.
831,AD 60100,AD,60100,MFA Orientation,"Required for and open only to M.F.A graduate students in art and design. An introduction to the M.F.A. graduate degree program in art and design: policies, procedures, and requirements for successful completion of the M.F.A. degree. Permission of department required."
832,AD 60300,AD,60300,Theory In Art Seminar,"Study of critical issues in modern and postmodern art and relevant methodologies: formalism, iconography, biography and autobiography. Marxism (cultural studies), semiotics, and psychoanalyses. Elements of contemporary professional art practice discussed, including writing of artists' and designers' statements, biographies, and resumes. Prerequisite: Admission to the M.F.A. program in Art and Design. Permission of department required."
833,AD 60500,AD,60500,Problems In Industrial Design,"Problems in product innovation, product design, product development, and environmental design. Emphasis is placed on the development of working prototypes."
834,AD 60600,AD,60600,Problems In Visual Design,"Problems relating to printing and digital technology, motion design, computer graphics, perception, and the development of visual communication prototypes."
835,AD 60700,AD,60700,Graduate Seminar In Photography And Related Media,"to 6.00. Study and discussion of the aesthetics, theory, and criticism of photography and related media. Applications include historical and contemporary research and/or the development and critical analysis of a body of work. Prerequisite: Admission to the M.F.A. program in Art and Design. Permission of department required."
836,AD 60800,AD,60800,Advanced Typography,"Explores the communicative and structural aspects of traditional and non-traditional typography, its current and past practitioners, and its evolving role in society. Independent research and group projects will supplement lectures, assigned readings, and field trips. Permission of department required."
837,AD 60900,AD,60900,Information Design,"This course aims to teach specific principles and methods pertaining to information design, an emerging discipline within visual communications design (graphic design) involving the selection, organization and presentation of information to a given audience, covering a wide and varied group of delivery mediums. Prerequisite: Admission to the M.F.A. program in Art and Design. Permission of department required."
838,AD 61000,AD,61000,Advanced Poster Design,Specific principles and methods pertaining to poster design. Explores the historical and social implications of poster design. Practical and theoretical exercise will aid students in creative thinking and concept
839,AD 61100,AD,61100,Advanced Web Design For Visual Communication Design,Explores experimental interface design issues and surveys emerging and advanced theories of interface design for the Web. Application of motion graphics design principles and design experimentation is part of the curriculum. Prerequisite: Admission to the M.F.A. program in Art and Design. Permission of department required.
840,AD 61200,AD,61200,Color Aesthetic And Research,"Explores color aesthetic based on the works of color masters (e.g., Albers, Itten, Chevreul, Birren, Munsell, and Ostwald) and contemporary color research issues applied to art and design. Color research methodology will be addressed."
841,AD 61300,AD,61300,Drawing,to 6.00. Drawing. Permission of department required.
842,AD 61400,AD,61400,Graduate Installation And Critique,A seminar for all graduate students in the studio arts incorporating the process of installation art to facilitate the exchange of ideas and professional criticism.
843,AD 61500,AD,61500,Social Issues In Industrial Design,"A study of mass-production materials and processes used by designers. Students will focus on the limitations and benefits of various manufacturing methods. Special attention will be given to injection molding, casting, and stamping. Prerequisite: Admission to the M.F.A. program in Art and Design."
844,AD 61600,AD,61600,Electronic And Time-Based Art,"to 6.00. This seminar explores contemporary artistic practices in Electronic and Time-Based Art, including emerging fields such as: generative and interactive art, audio-visual installation, and new media performance. The format of the course is a mixture of critique, workshops, research, presentations, and discussion. Permission of department required."
845,AD 62500,AD,62500,Applied Ornamental Design,"Examination of past and present ornamental design applications and of the cultures that created them. Students will generate their own individual visual iconography to be transformed into designs for consumer products, architectural elements, or furniture. Prerequisite: Admission to the M.F.A. program in Art and Design."
846,AD 63500,AD,63500,Advanced Materials And Processes,"A study of mass-production materials and processes used by designers. Students will focus on the limitations and benefits of various manufacturing methods. Special attention will be given to injection molding, casting, and stamping. Prerequisite: Admission to the M.F.A. program in Art and Design."
847,AD 64000,AD,64000,Special Topics In Interior Design,"to 6.00. Special topics and theoretical approaches to individual projects within the built environment will be investigated, such as urban environments, existing and new structures, and interior environments. Topics could include either residential or non-residential projects. Prerequisite: Admission to the M.F.A. program in Art and Design. Permission of instructor required."
848,AD 65800,AD,65800,MFA Project Research In Studio Arts,to 6.00. Intensive M.F.A. project production and thesis research in studio arts. Prerequisite: Three credit hours of AD 55800 with a minimum B- grade. Permission of instructor required.
849,AD 66100,AD,66100,Jewelry and Metalsmithing,to 6.00. Jewelry and Metalsmithing. Permission of department required.
850,AD 66500,AD,66500,Printmaking,to 6.00. Printmaking. Permission of department required.
851,AD 66800,AD,66800,MFA Project Research In Design,to 6.00. Intensive M.F.A. project production and thesis research in design. Prerequisite: Three credit hours of AD 56800 with a minimum B- grade. Permission of instructor required.
852,AD 66900,AD,66900,Materials And Processes For The Studio Artist,"to 6.00. This course introduces graduate studio artists to various materials, methods and processes to supplement their current practical media of choice. Such methods include, but are not limited to, welding for the artist (MIG and arc), casting, cement, plaster, mold making, structural construction, using fabric for sculptural processes, sewing (machine and hand) printing on fabric. This is a survey course and exposes the student to the above allowing them to select one or multiple processes and materials to enhance and expand their practice. Permission of department required."
853,AD 67000,AD,67000,Textile Art,to 6.00. Textile Art. Permission of department required.
854,AD 67500,AD,67500,Sculpture,to 6.00. Sculpture. Permission of department required.
855,AD 67800,AD,67800,Graduate Internship,"to 6.00. Intensive exposure to professional experience through supervised internship in art or design firms, departments, or studios. The internship will consist of work to enhance the development of future professionals. The internship experience will help students integrate theory and practice and confirm career choices. Prerequisite: Admission to the M.F.A. program in Art and Design. Permission of instructor required."
856,AD 69000,AD,69000,Advanced Problems In Art And Design,to 18.00. Credit and hours to be arranged. Permission of instructor required.
857,AD 69100,AD,69100,Directed Readings In Art History,A survey of specialized publications for in-depth study in an area of special interest. Permission of instructor required.
858,AD 69300,AD,69300,Historical Problems In Art Education,"(EDCI 63000) Examination of methods used to investigate art education's history, past theory, and practices. Class work will include readings and discussion and will culminate in guided research and a short historical study. Permission of instructor required. Prerequisite: BA in art education."
859,AD 69600,AD,69600,Aesthetic Development In Children,(EDCI 63100) Examination of historical and contemporary theory and research in children's aesthetic development (response and production) and analysis of the influences of such development on art education curricula and methodology. Permission of Instructor required. Prerequisite: BA in Art Education or an equivalent area.
860,AD 69700,AD,69700,MFA Graduate Exhibition,"Completion of M.F.A. thesis, oral defense, gallery installation of M.F.A. exhibition, public presentation, and documentation of exhibition. Prerequisite: Admission to the M.F.A. program in Art and Design. Concurrent Prerequisite: Must complete 12 credit hours of AD 65800 or AD 66800 during the same or prior session. Only open to M.F.A. graduate students in Art and Design. Permission of instructor required."
861,AD 69800,AD,69800,Research MA Or MFA Thesis,to 18.00. Research MA Thesis. Permission of instructor required.
862,ASAM 24000,ASAM,24000,Introduction To Asian American Studies,"A general introduction to Asian American history and culture, with a focus on the diverse and multifaceted experiences of peoples of Asian descent in America and their contributions to U.S. culture and society."
863,ASAM 34000,ASAM,34000,Contemporary Issues In Asian American Studies,"Overviews various issues in contemporary Asian American Studies through theoretical and literary readings combined with examinations of popular media. Topics examine the multiple intersections of race, ethnicity, class, gender, and sexuality."
864,ASAM 34200,ASAM,34200,Special Topics In Asian American Studies,This course will focus on specific issues and themes in Asian American Studies.
865,ASTR 26300,ASTR,26300,Descriptive Astronomy: The Solar System,"A descriptive course in astronomy intended for non-physics majors. Topics include properties of stars, stellar birth and death; the Hertzsprung-Russel diagram; binary systems; red giants and white dwarfs; supernova; neutron stars and black holes; galaxies; cosmology and the big bang; and dark matter. Includes required night-sky observing sessions."
866,ASTR 26400,ASTR,26400,Descriptive Astronomy: Stars And Galaxies,"A descriptive, nonmathematical course in astronomy intended for non-physics majors. Topics include: properties of stars; stellar birth and death; the Hertzsprung-Russel diagram; main sequence stars; binary systems; stellar clusters; red giants and white dwarfs, nova and supernova; neutron stars and black holes; galaxies and the cosmological red shift. Includes required observing sessions. Not available to students with credit in ASTR 36400."
867,ASTR 36300,ASTR,36300,The Solar System,"This course is intended for students in science or engineering. The components of the course consist of an overview of solar system objects and an overview of the physical processes that control the evolution of solar system objects since formation. The overview of solar system includes observations of the Sun, planets, asteroids and Kuiper-belt objects, comets, and interplanetary dust. Specific processes that are discussed include hydrostatic equilibrium, orbital dynamics, radioactive decay, and heat flow. The role of these processes in shaping planetary surfaces and atmosphere is explored."
868,ASTR 36400,ASTR,36400,Stars And Galaxies,"This course is intended for students in Science or Engineering. This is the second of a two-semester introductory sequence on astronomy and astrophysics, although it is designed to be a standalone course. It is intended mainly for Science and Engineering majors who are comfortable with calculus-based contents. The course provides an overview on the formation and evolution of stars, galaxies, and clusters of galaxies. Selected topics that are covered in"
869,ASTR 37000,ASTR,37000,Cosmology,"Intended for science and engineering majors. Basic physics and math knowledge will be assumed. The picture of how the Universe came to be and how it has evolved has recently come into sharp focus. This progress is the result of improved observational techniques that have resulted in high resolution images of very distant galaxies, a more accurate mapping of the Large Scale Structure of the Universe or the high resolution picture of the young universe provided by Cosmic Microwave Background observations. We will present a historical perspective of how ideas and data have shaped Cosmology through the centuries. In addition, we will review the theoretical models that are in agreement with the current observations. Our goal will be to provide the students with a broad overview of the current research in Cosmology with an eye toward stimulating the students curiosity about the many questions still awaiting answers in this field."
870,ASTR 56000,ASTR,56000,Stellar Evolution,"(PHYS 56000) Observational basis of astrophysics; formation of galaxies and stars; evolution of stars; white dwarfs, supernovae and neutron stars, pulsars, quasars, black holes; cosmic rays, their origin and acceleration; radio astronomy, radio galaxies; the H-21 cm line and the 3mK blackbody radiation; gravitational radiation; X-ray and g-ray astronomy; cosmology; space physics, magnetosphere, and solar wind."
871,ASTR 56100,ASTR,56100,Galaxies And Large Scale Structure,"(PHYS 56100) Covers basic observed properties and models of galactic structure, dynamics of stars, physics of interstellar medium, formation of galaxies, properties of clusters of galaxies, and dark matter."
872,ASTR 56200,ASTR,56200,Introduction To High Energy Astrophysics,"(PHYS 56200) An overview of important physical processes in a variety of astronomical settings and of the experimental techniques employed in the field of high energy astrophysics. Covered in more detail are individual systems that include black holes, neutron stars, white dwarfs, supernova remnants, active galactic nuclei, clusters of galaxies, gamma-ray bursts, and cosmic rays, with special emphasis on several research frontiers."
873,ASTR 56300,ASTR,56300,Astroparticle Physics,"(PHYS 56300) An overview of an emerging research frontier in modern physics that lies at the interface of particle physics and astrophysics. Emphasis is on topics that are particularly relevant to both fields, including cosmology, cosmic ray physics, very-high-energy gamma ray astrophysics, neutrino astrophysics, and gravitational wave physics."
874,ASTR 56700,ASTR,56700,Observational Techniques In Astronomy,"(PHYS 56700) Fundamental concepts in observational astronomy, including coordinate and time systems, telescopes and detectors, radiation and optics, and methods of statistical data analysis."
875,AT 10000,AT,10000,Introduction To Aviation Technology,An introduction to the Department of Aviation Technology and its curricula as well as an overview of the aviation industry and associated careers. Aviation safety practices and human factors issues are discussed. An overview of aviation regulations and the regulatory process is included.
876,AT 10100,AT,10100,Gateway To Aviation Technology,"An introduction to Aviation Technology as well as fundamentals of the aviation industry. Course topics include basic aircraft science, aircraft nomenclature, theory of flight, and aviation regulations and the regulatory process. Aviation safety practices and human factors issues are discussed as well as the subject areas and information needed to operate as a private pilot in the aviation environment. As part of this course, every student will gain flight experience in a turbine powered aircraft. A special fee is charged for this experience. Permission of department required."
877,AT 10200,AT,10200,Aviation Business,"A discussion of the financial structure and operation of the aviation industry including aircraft and aerospace design parameters, as well as aviation financial and industrial processes. The course will cover material relevant to the overall structure of the aviation industry including history, current status of aerospace manufacturers, commercial airlines, and general aviation as well as governmental aviation agencies and international aviation. Commercialization of space and current issues in aviation will also be covered."
878,AT 10300,AT,10300,Aerospace Vehicle Propulsion And Tracking Systems,"This course is an introduction to propulsion systems used in aerospace vehicles. The student will learn terminology, component parts, and operational theory of propulsion systems. Course topics covered are reciprocating and turbine engine operation theory as well as rocket propulsion systems. including electrical, fuel, fire, ignition and lubrication. Operational and regulatory fuel requirements are discussed. Emerging technologies and environmental practices will be explored."
879,AT 10500,AT,10500,Basic Aircraft Electrical Theory,"A study of aircraft DC electrical circuits, Ohm's Law, Kirchoff's Law, series and parallel circuits, magnetism, electromagnetism, DC power systems along with aircraft schematics and aircraft wiring practices. Laboratory experiments cover installation of aircraft electrical systems along with basic system analysis. Permission of department required."
880,AT 10600,AT,10600,Basic Aircraft Science,"An introduction to federal regulatory systems and associated publications. Includes aircraft nomenclature, theory of flight, and fundamentals of the aviation industry. Introduces weight and balance procedures. Permission of department required."
881,AT 10800,AT,10800,Aircraft Materials,"A study of the materials and their properties utilized in aircraft structures and powerplants. Laboratory content will consist of basic processes involved in the design, testing, and utilization of such materials. Permission of department required."
882,AT 10900,AT,10900,Unmanned Aerial Systems Design And Construction,"A study of the materials and their properties utilized in aircraft structures and powerplants. The basic processes involved in the design, testing, and utilization of such materials in unmanned vehicles will be discussed. This includes aerospace materials and their properties, computer aided design, engineering drawings, aircraft structural concepts, aircraft design concepts, metallic and composite materials, aircraft loads and stresses, and aerodynamics."
883,AT 10901,AT,10901,Introduction To Unmanned Aerial System Operations,"This course will provide students the aeronautical knowledge required to operate a small UAS in the National Airspace. Students are introduced to various aspects of unmanned aviation operations, which includes UAS system types and components, regulations and operational approvals, and indoctrination to the civil and commercial applications of UAS. Through the use of UAS simulation technology, students will develop basic small UAS flight skills and successfully complete various UAS operational scenarios. Upon successful completion of the course students will be prepared to obtain a Federal Aviation Administration (FAA) Remote Pilot Certificate with a Small UAS Rating. Permission of department required."
884,AT 11600,AT,11600,Aircraft Science For Engineering Technology,"Required for AET. This course is an introduction to theory of flight, aircraft nomenclature, aircraft configurations, high speed flight, and helicopter configurations and rotor dynamics. Covers lift/drag and concepts for flight at an engineering technology level beyond that of flight ground school. Federal regulatory systems for aircraft design and persons other than flight personnel and associated technical documents are covered. Introduces center of gravity theory, defines how to locate centers of gravity, and introduces weight and balance procedures for engineering technology, not covered by flight ground school. This course teaches topics in the curriculum required by 14 CFR Part 147 as outlined in the School of Aviation and Transportation Technology's Part 147 Operations Manual approved by the FAA, and provides specific knowledge and skills needed for FAA certification examinations."
885,AT 11901,AT,11901,Unmanned Aerial Systems: Safety And Risk Management,"This course discusses the fundamental concepts of Safety and Risk Management and their application to UAS operations. The course will provide insight into strategies for developing and implementing a formal safety management system (SMS) that effectively supports an organization's UAS operations. In addition, students will gain an understanding of ethical decision making and its relationship to safety. Laboratory exercises provide students practical application of this knowledge to various UAS operational scenarios, which includes utilizing SMS principles in assessing risks and developing appropriate mitigations. Permission of department required."
886,AT 12100,AT,12100,Aircraft Powerplants For Flight Crews,"Fundamental principles of aircraft powerplants and accessories, including theory of operation. Topics include fuel and related systems, lubrication, carburetion, induction, ignition, propellers, and technical publications. Emphasizes reciprocating engines, with an introduction to gas turbine propulsion. Permission of department required."
887,AT 12700,AT,12700,Publications Records And Regulations,"Required for AET. This course provides students with the concepts, and information to understand the regulations and publications specific to aviation and aerospace vehicle repair and maintenance. The privileges and limitations of the 14 CFR Part 65 airmen certificates are covered, as well as the regulations governing repair facilities and repair stations. The specific forms and records, and the proper disposition of those records are covered. In addition, aircraft technical drawings and prints are examined and the student is to develop the ability to read and comprehend aircraft drawings, as well as make drawings/sketches for vehicle repair and/or alteration. Precision measuring equipment is covered as is the hardware specific to aviation and aerospace. Inspection procedures and conformity checks are covered. Engine run up operations for inspection purpose are covered. This course teaches topics in the curriculum required by 14 CFR Part 147 as outlined in the School of Aviation and Transportation Technology's Part 147 Operations Manual approved by the FAA, and provides specific knowledge and skills needed for FAA certification examinations."
888,AT 14400,AT,14400,Private Pilot Lectures,A study of the subject areas and information needed to operate as a private pilot in the aviation environment. The FAA private pilot written exam will be offered to those who qualify after taking the Lecture Course offering.
889,AT 14500,AT,14500,Private Pilot Flight,"In this course, the student will receive the necessary dual flight instruction and solo flight time to qualify for the FAA Private Pilot Certificate under Part 61 of the Federal Aviation Regulations."
890,AT 14502,AT,14502,Private Pilot Flight Under Federal Aviation Regulations Part 141,"In this course, the student will receive the necessary dual flight instruction and solo flight time to qualify for the FAA Private Pilot Certificate under Part 141 of the Federal Aviation Regulations. Permission of department required."
891,AT 14700,AT,14700,Aircraft Propulsion Systems,"The theory of operation, design, and construction of modern aircraft propulsion systems. This includes familiarization with fuel, electrical, ignition, instrument, and control systems for both reciprocating and gas turbine powerplants on large transport aircraft."
892,AT 18700,AT,18700,Aircraft Propulsion And Operating Systems,"An overview of propulsion and operation systems theory of operation, design, and construction. This includes fuel, electrical, ignition, instrument, powerplant control, environmental, flight control, and navigation systems found on modern aircraft."
893,AT 20100,AT,20100,Aircraft Design And Structures,"A study of aerospace materials and their properties utilized in aircraft structures and powerplants. This includes introduction to computer aided design, engineering drawings, aircraft structural concepts, aircraft design concepts, metallic and composite materials, aircraft loads and stresses, and aerodynamics."
894,AT 20200,AT,20200,"Aerospace Vehicle Systems Design, Analysis And Operations","Introduction to the design and engineering analysis of various systems found on modern aircraft and aerospace vehicles. Operational theory will also be presented for specific aircraft. Systems include electric power distribution, digital data, instrumentation, hydraulic, pneumatic, environmental, flight management, and autoflight."
895,AT 20300,AT,20300,Aviation Operations Management,"This course provides a forum for investigating contemporary issues facing the aviation and aerospace industries. Major topics include aviation operation, human resources, fiscal, and technology management."
896,AT 20501,AT,20501,Statics For Aerostructures,"This course provides an introduction to the static analysis of aerostructures. Force systems, resultants and equilibrium, moments, distributed loads, and centroids as they relate to aeronautical structures are studied. CAD software is introduced."
897,AT 20700,AT,20700,Introduction To Aircraft Systems,"Principles and design concepts of aircraft operating systems are covered. Emphasis is given to flight control, electrical, environmental, hydraulic, pneumatic, pressurization, oxygen, heating, cooling, fire protection, and ice and rain protection systems. Also included are theory of operation and design of aircraft instruments and associate systems."
898,AT 20800,AT,20800,Aircraft Materials II,This course includes final assembly and finishing procedures for fabric and metallic aircraft structures. Repairs to such components are included.
899,AT 20802,AT,20802,Aircraft Materials,"In this course students study aluminum and composite materials used in aircraft. The course covers elements of design, fabrication, final assembly, and testing. Students also study the practical application of statics for airframe loads."
900,AT 20900,AT,20900,Civilian Unmanned Aerial Systems,"This course introduces fundamental concepts of unmanned aerial vehicles. Topics include: history, airframe and powerplant selection, regulations governing unmanned systems, airspace descriptions, safety, autonomous system programming and calibration, data package options, weather, system maintenance and repair, manual flight training, first person viewer flight (FPV), flight simulator use, as well as aerodynamics and flight controls for autonomous aircraft."
901,AT 21000,AT,21000,Ground Trainer I,"Included in this course are maneuvers to develop basic attitude instrument flying skills. The student then proceeds into tracking, holding, and approach procedures. Intersection holding and arc flying will also be covered. Permission of department required."
